Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Credit Officer;instance1345;activity;Assess application;26913.264922577582;26913.264922577582;26933.377139473552;0.0;20.112216895968984;5;20.112216895968984;Credit Officer;;
Credit Application Clerk;instance1347;START;Credit application received;26940.37942615387;26940.37942615387;26940.37942615387;0.0;0.0;0;0;;;
Credit Application Clerk;instance1346;activity;Send e-mail to customer;26933.154492546524;26933.154492546524;26941.01466808795;0.0;7.860175541428715;5;3.9300877707143576;Clerk;;
Credit Application Clerk;instance1346;END;Customer notified;26941.01466808795;26941.01466808795;26941.01466808795;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1345;activity;Make credit offer;26933.377139473552;26933.377139473552;26943.21676377778;0.0;9.839624304227746;5;9.839624304227746;Credit Officer;;
Credit Application Credit Officer;instance1345;END;Credit application processed;26943.21676377778;26943.21676377778;26943.21676377778;0.0;0.0;0;0;;;
Credit Application Clerk;instance1347;activity;Check credit history;26940.37942615387;26940.37942615387;26950.68653722784;0.0;10.307111073970544;5;5.153555536985272;Clerk;;
Credit Application Credit Officer;instance1346;activity;Assess application;26933.154492546524;26933.154492546524;26953.81823364901;0.0;20.66374110248488;5;20.66374110248488;Credit Officer;;
Credit Application Clerk;instance1347;activity;Check income sources;26940.37942615387;26940.37942615387;26956.95855777012;0.0;16.57913161624625;5;8.289565808123125;Clerk;;
Credit Application Clerk;instance1347;intermediate;Credit Application checked;26956.95855777012;26956.95855777012;26956.95855777012;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1347;START;Credit application received;26956.95855777012;26956.95855777012;26956.95855777012;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1348;START;Credit application received;26959.926255127008;26959.926255127008;26959.926255127008;0.0;0.0;0;0;;;
Credit Application Clerk;instance1347;activity;Send e-mail to customer;26956.95855777012;26956.95855777012;26963.721419097965;0.0;6.762861327847483;5;3.3814306639237417;Clerk;;
Credit Application Clerk;instance1347;END;Customer notified;26963.721419097965;26963.721419097965;26963.721419097965;0.0;0.0;0;0;;;
Credit Application Clerk;instance1348;activity;Check credit history;26959.926255127008;26959.926255127008;26966.04779265675;0.0;6.121537529741996;5;3.060768764870998;Clerk;;
Credit Application Credit Officer;instance1346;activity;Make credit offer;26953.81823364901;26953.81823364901;26966.452529280617;0.0;12.634295631606083;5;12.634295631606083;Credit Officer;;
